,trial_id,recruitment_status,study_closing_date,secondary_ids,results_publications_documents
0,DRKS00021447,Recruiting planned,,"[{'id_type': 'Universal Trial Number (UTN)', 'registry': None, 'secondary_id': 'U1111-1250-8875'}]","[{'document_type': 'Approval of ethics comm. (mandatory for transfer to Studybox)', 'link_to_document': 'https://www.drks.de/drks_web/AttachmentDownstreamServlet?ID=b9e5f46a-f347-48b2-90e3-fe4b70c1b05b&LOCALE=en&FILENAME=069_20 Enghard 2.pdf'}, {'document_type': 'trial protocol (mandatory for transfer to Studybox)', 'link_to_document': 'https://www.drks.de/drks_web/AttachmentDownstreamServlet?ID=1d92a04f-6b19-480d-a798-3202d917284d&LOCALE=en&FILENAME=Studienprotokoll CytoResc1.pdf'}]"
1,DRKS00021420,Recruiting ongoing,,,"[{'document_type': 'trial protocol (mandatory for transfer to Studybox)', 'link_to_document': 'https://www.drks.de/drks_web/AttachmentDownstreamServlet?ID=575eb75e-6a49-456f-a8cc-2db0bbc02711&LOCALE=en&FILENAME=3_Protokoll.pdf'}]"
2,DRKS00021527,"Recruiting complete, follow-up complete",,,
3,DRKS00021573,"Recruiting complete, follow-up complete",2020/07/23,"[{'id_type': 'EudraCT-No. (for studies acc. to Drug Law)', 'registry': None, 'secondary_id': '2020-001470-30'}]",
4,DRKS00021585,Recruiting ongoing,,,
5,DRKS00021588,Recruiting ongoing,,,
6,DRKS00021582,Recruiting planned,,,
7,DRKS00021214,Recruiting ongoing,,,
8,DRKS00022553,Recruiting ongoing,,,
9,DRKS00021153,Recruiting ongoing,,,
10,DRKS00022484,Recruiting ongoing,,,
11,DRKS00021301,Recruiting ongoing,,,
12,DRKS00021273,Recruiting ongoing,,,
13,DRKS00022305,Enrolling by invitation,,,"[{'document_type': 'Approval of ethics comm. (mandatory for transfer to Studybox)', 'link_to_document': 'https://www.drks.de/drks_web/AttachmentDownstreamServlet?ID=1d2f0cd4-b4ce-45c5-bc69-bcbe206e18bd&LOCALE=en&FILENAME=2020-498-f-S_abschlie%C3%9Fendes Votum Antrag_17.07.2020.pdf'}, {'document_type': 'trial protocol (mandatory for transfer to Studybox)', 'link_to_document': 'https://www.drks.de/drks_web/AttachmentDownstreamServlet?ID=63c57106-04a9-42bc-805c-8fda71ef1fa6&LOCALE=en&FILENAME=23062020Studienplan.pdf'}]"
14,DRKS00023406,Recruiting planned,,,"[{'document_type': 'Approval of ethics comm. (mandatory for transfer to Studybox)', 'link_to_document': 'https://www.drks.de/drks_web/AttachmentDownstreamServlet?ID=b2f935b5-780e-4b65-9609-56b99eec160b&LOCALE=en&FILENAME=20-1465_2020-10-26_ANDERE Erf%C3%BCllung Bedingungen_signatur.pdf'}, {'document_type': 'trial protocol (mandatory for transfer to Studybox)', 'link_to_document': 'https://www.drks.de/drks_web/AttachmentDownstreamServlet?ID=63f1b7f9-ebf2-40fd-a052-4254e45397ab&LOCALE=en&FILENAME=version_22_10_2020_Ethikantrag_COVID_VieScope.pdf'}]"
15,DRKS00022067,Recruiting planned,,,
16,DRKS00022083,Recruiting ongoing,,,
17,DRKS00023500,"Recruiting complete, follow-up complete",,,
18,DRKS00022203,Recruiting ongoing,,"[{'id_type': 'Universal Trial Number (UTN)', 'registry': None, 'secondary_id': 'U1111-1253-0458'}]",
19,DRKS00023184,Recruiting ongoing,,,
20,DRKS00023171,Recruiting planned,,,"[{'document_type': 'Approval of ethics comm. (mandatory for transfer to Studybox)', 'link_to_document': None}]"
21,DRKS00023091,Recruiting ongoing,,,
22,DRKS00022958,Recruiting planned,,"[{'id_type': 'Other Secondary-ID', 'registry': 'Teilstudie', 'secondary_id': 'DRKS00022957'}]","[{'document_type': 'Background literature', 'link_to_document': 'https://www.drks.de/drks_web/AttachmentDownstreamServlet?ID=95a91263-edba-4c33-96c4-c0877a517bc0&LOCALE=en&FILENAME=Hintergrundliteratur_Studie 2_Care +.pdf'}]"
23,DRKS00021732,Recruiting ongoing,,"[{'id_type': 'EudraCT-No. (for studies acc. to Drug Law)', 'registry': None, 'secondary_id': '2020-001431-27'}]",
24,DRKS00021706,Enrolling by invitation,,,
