,trial_id,trial_status,comp_date,last_updated,emails,results
0,JPRN-UMIN000040286,Preinitiation,,2020-05-01,['okuhara-ctr@umin.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
1,JPRN-UMIN000040401,Enrolling by invitation,,2020-05-14,['umemoto.cvm@tmd.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
2,JPRN-UMIN000040341,No longer recruiting,,2020-05-17,"['nakamurachibiko@gmail.com', 'jimukyoku@takanawa-clinic.com']","[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
3,JPRN-UMIN000040407,No longer recruiting,,2020-05-17,"['nakamurachibiko@gmail.com', 'jimukyoku@takanawa-clinic.com']","[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
4,JPRN-UMIN000040479,Open public recruiting,,2020-05-27,"['nakamurachibiko@gmail.com', 'jimukyoku@takanawa-clinic.com']","[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
5,JPRN-UMIN000040694,Preinitiation,,2020-06-09,['nishikawa17635@gmail.com'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
6,JPRN-UMIN000040733,Preinitiation,,2020-06-12,"['tsukinoki@kdu.ac.jp', 'handa@kdu.ac.jp']","[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
7,JPRN-UMIN000040838,Preinitiation,,2020-06-25,['ke-watanabe@hyo-med.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
8,JPRN-UMIN000041160,Preinitiation,,2020-07-20,['kamei@slcn.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
9,JPRN-UMIN000040837,No longer recruiting,,2020-08-30,['somirai@tdc.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
10,JPRN-UMIN000041458,Preinitiation,,2021-06-23,['kojima@opu.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
11,JPRN-UMIN000042034,Preinitiation,,2020-10-07,"['ryota.muroi@marianna-u.ac.jp', 'fujiya-1487@marianna-u.ac.jp']","[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
12,JPRN-UMIN000042270,Preinitiation,,2020-10-28,"['fujiya-1487@marianna-u.ac.jp', 'kanaka@marianna-u.ac.jp']","[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
13,JPRN-UMIN000042599,Preinitiation,,2020-11-30,['y2nakamura@marianna-u.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
14,JPRN-UMIN000042807,Preinitiation,,2020-12-22,"['yasuko.shinozaki.a1@tohoku.ac.jp', 'oshitanih@med.tohoku.ac.jp']","[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
15,JPRN-UMIN000043400,Preinitiation,,2021-02-21,['kakeya@med.osaka-cu.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
16,JPRN-UMIN000043537,Open public recruiting,,2021-03-05,"['hosam.refaei@yahoo.com', 'asmaa.elsaddory@yahoo.com']","[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
17,JPRN-UMIN000043566,No longer recruiting,,2021-05-13,"['yasuoka@ncgg.go.jp', 'masayok@ncgg.go.jp']","[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
18,JPRN-UMIN000040744,No longer recruiting,,2020-12-25,['johney@yokohama-cu.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
19,JPRN-UMIN000041421,Completed,,2021-02-03,['anomura@med.kanazawa-u.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%"">Please see the manuscript via the link above</td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%"">https://www.researchsquare.com/article/rs-156774/v1</td>]"
20,JPRN-UMIN000041990,No longer recruiting,,2020-10-15,['harada@harbor.kobe-u.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
21,JPRN-UMIN000042384,Enrolling by invitation,,2021-02-13,['yhiroshi@belle.shiga-med.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
22,JPRN-UMIN000042477,No longer recruiting,,2021-03-02,['clatsune@yahoo.co.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
23,JPRN-UMIN000043350,No longer recruiting,,2021-03-24,"['mmaekawa@hama-med.ac.jp', 'keitay@hama-med.ac.jp']","[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
24,JPRN-UMIN000043369,Preinitiation,,2021-03-20,['shigekifujitani@marianna-u.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
25,JPRN-UMIN000043769,Preinitiation,,2021-03-28,['tsukinoki@kdu.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
26,JPRN-UMIN000043788,Enrolling by invitation,,2021-03-30,['koga.yoko@twmu.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
27,JPRN-UMIN000043820,Enrolling by invitation,,2021-04-02,"['kkazawa@hiroshima-u.ac.jp', 'sishii76@hiroshima-u.ac.jp']","[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
28,JPRN-UMIN000043867,Preinitiation,,2021-04-08,['sjinkun@hp-cqm.med.osaka-u.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
29,JPRN-UMIN000040235,Completed,,2021-05-31,['horiitoshiki@gmail.com'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
30,JPRN-UMIN000040602,Completed,,2021-06-08,['ubiratanadler@ufscar.br'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
31,JPRN-UMIN000042556,No longer recruiting,,2021-05-24,"['kouima-tky@umin.ac.jp', 'norito@m.u-tokyo.ac.jp']","[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
32,JPRN-UMIN000044145,Preinitiation,,2021-05-08,['norito@m.u-tokyo.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
33,JPRN-UMIN000044519,Preinitiation,,2021-06-13,['nakayama.tomohiro@nihon-u.ac.jp'],"[<td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>, <td align=""left"" bgcolor=""#E6E6FA"" colspan=""1"" rowspan=""1"" style=""word-wrap:break-word;"" width=""80%""><br/></td>]"
