referenceid	timestamp_started	timestamp_finished	username	db_id	trialid	source_register	title	web_address	trns	completion_month	is_german_covidevidence	is_german_in_germany	is_german_drks	is_german_euctr	is_searched_cutoff_2	is_searched_cutoff_3	abstract	soc	flag_review	comments
5	2021-10-25 07:19:53	2021-10-25 07:20:56	ndevito	tri00037	ChiCTR2000029790	ChiCTR	Clinical study for the integration of traditional Chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49453	ChiCTR2000029790	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	&quot;Western Medicine&quot; is an undefined standard of care.
4	2021-10-25 07:21:01	2021-10-25 07:22:03	ndevito	tri00030	ChiCTR2000029814	ChiCTR	Clinical Trial for Integrated Chinese and Western Medicine in the Treatment of Children with Novel Coronavirus Pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49387	ChiCTR2000029814	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	&quot;Western medicine&quot; is an undefined standard of care
3	2021-10-25 07:22:11	2021-10-25 07:22:57	ndevito	tri00028	ChiCTR2000029819	ChiCTR	Ba-Bao-Dan in the adjuvant therapy of novel coronavirus pneumonia (COVID-19) patients	http://www.chictr.org.cn/showprojen.aspx?proj=49490	ChiCTR2000029819	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	TCM is Ba-Bao-Dan
2	2021-10-25 07:23:02	2021-10-25 07:23:45	ndevito	tri00022	ChiCTR2000029853	ChiCTR	A randomized, open-label, controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49532	ChiCTR2000029853	2020-04-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	According to the &quot;Pneumonia Diagnosis and Treatment Plan for New Coronavirus Infection (Trial Version 5)&quot; issued by National Health Commission of People's Republic of China, the subjects were given corresponding treatment.
1	2021-10-25 07:23:49	2021-10-25 07:24:35	ndevito	tri00011	ChiCTR2000029941	ChiCTR	A randomized controlled trial for Traditional Chinese Medicine in the treatment for Novel Coronavirus Pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49596	ChiCTR2000029941	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL	NULL	&quot;Western medicine&quot; as undefined standard of care.
402	2021-10-26 05:39:19	2021-10-26 05:44:49	ndevito	tri02445	NCT04292730	ClinicalTrials.gov	Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment	https://clinicaltrials.gov/show/NCT04292730	NCT04292730; EUCTR2020-000842-32; ISRCTN85762140	2020-04-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	NULL
556	2021-10-26 05:49:08	2021-10-26 05:57:05	joschwietering	tri02683	DRKS00021447	German Clinical Trials Register	CytoResc - CytoSorb Rescue for COVID-19 Cytokine Storm	http://www.drks.de/DRKS00021447	DRKS00021447	0000-00-00	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE		NULL	NULL	SOC in german version described only in german version
550	2021-10-26 05:58:36	2021-10-26 06:39:26	joschwietering	tri03057	NCT04362813	ClinicalTrials.gov	Study of Efficacy and Safety of Canakinumab Treatment for CRS in Participants With COVID-19-induced Pneumonia	https://clinicaltrials.gov/show/NCT04362813	NCT04362813; EUCTR2020-001370-30	2020-09-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	NULL
531	2021-10-26 08:49:59	2021-10-26 08:57:34	joschwietering	tri02956	NCT04368728	ClinicalTrials.gov	Study to Describe the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Individuals	https://clinicaltrials.gov/show/NCT04368728	NCT04368728; EUCTR2020-002641-42	2021-11-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	Synonyms: Comirnaty, Tozinameran, BNT162b1 or  BNT162b2\nThis trial has many arms (20!) -> we only extracted those with different substances used. 
530	2021-10-26 08:57:51	2021-10-26 08:59:17	joschwietering	tri03340	NCT04362137	ClinicalTrials.gov	Study to Assess the Efficacy and Safety of Ruxolitinib in Patients With COVID-19 Associated Cytokine Storm	https://clinicaltrials.gov/show/NCT04362137	NCT04362137; EUCTR2020-001662-11; PER-030-20	2020-10-01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE		NULL	NULL	NULL
