referenceid	timestamp_started	timestamp_finished	db_id	trialid	source_register	title	web_address	trns	completion_month	is_german_covidevidence	is_german_in_germany	is_german_drks	is_german_euctr	is_searched_cutoff_2	is_searched_cutoff_3	abstract	soc	flag_review	comments
9	2022-05-25 11:42:09	2022-05-25 11:43:31	tri00065	ChiCTR2000029636	ChiCTR	Efficacy and safety of aerosol inhalation of vMIP in the treatment of novel coronavirus pneumonia (COVID-19): a single arm clinical trial	http://www.chictr.org.cn/showprojen.aspx?proj=49215	ChiCTR2000029636	2020-07-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
10	2022-05-25 11:43:53	2022-05-25 11:44:30	tri00074	ChiCTR2000029602	ChiCTR	Clinical study for community based prevention and control strategy of novel coronavirus pneumonia (COVID-19) in the isolate suspected and confirmed population	http://www.chictr.org.cn/showprojen.aspx?proj=48985	ChiCTR2000029602	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
11	2022-05-25 11:44:33	2022-05-25 11:44:56	tri00075	ChiCTR2000029601	ChiCTR	Community based prevention and control for Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19) in the isolate suspected and confirmed population	http://www.chictr.org.cn/showprojen.aspx?proj=48988	ChiCTR2000029601	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
28	2022-05-25 11:45:02	2022-05-25 11:45:33	tri00142	ChiCTR2000030041	ChiCTR	A single-arm, single-center clinical trial for Azivudine tablets in the treatment of adult novel coronavirus pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49891	ChiCTR2000030041	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
40	2022-05-25 11:45:37	2022-05-25 11:46:14	tri00241	ChiCTR2000030219	ChiCTR	Study for evaluation of integrated traditional Chinese and Western Medicine in the treatment of Novel Coronavirus Pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=50110		2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
92	2022-05-25 11:46:23	2022-05-25 11:46:48	tri02773	IRCT20200314046774N1	IRCT	treatment of COVID-19 whit vitamin A	http://en.irct.ir/trial/46519	IRCT20200314046774N1	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		NULL
100	2022-05-25 11:46:51	2022-05-25 11:47:51	tri00884	JPRN-JapicCTI-205238	JPRN	Phase 3 Clinical Study of Favipiravir in Patients with COVID-19 Non-Severe Pneumonia	https://www.clinicaltrials.jp/user/showCteDetailE.jsp?japicId=JapicCTI-205238	JPRN-JapicCTI-205238	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Taking title as face value about placebo control
101	2022-05-25 11:48:21	2022-05-25 11:50:10	tri01658	IRCT20200409047007N1	IRCT	Effect of COVID 19 survivors plasma in COVID 19 patients with ARDS	http://en.irct.ir/trial/47058	IRCT20200409047007N1	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE				Not exact about standard of care. Can receive therapies such as antibiotics, corticosteroids and HCQ. Call undefined.
102	2022-05-25 11:50:15	2022-05-25 11:51:55	tri04042	ACTRN12620000817943	ANZCTR	A Phase 1/2 randomized, placebo-controlled, multi-centre study to evaluate the safety and immunogenicity of COVID-19 Vaccine in Healthy Adults	https://anzctr.org.au/ACTRN12620000817943.aspx	ACTRN12620000817943	2020-11-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Trial has 2 parts with different combinations and doses of vaccine and placebo. Simplifying to 2 different vaccine dose arms (for the 2 different amounts of shots) and a placebo arm (this is basically what Phase 1 looked like) as we can't really easily differentiate shot + shot vs. shot + placebo (both at different doses) vs. just placebo well in our schema.
103	2022-05-25 11:51:59	2022-05-25 11:54:00	tri00820	ChiCTR2000031955	ChiCTR	Study for prevention of novel coronavirus pneumonia (COVID-19) in high risk population by Chinese medicine	http://www.chictr.org.cn/showprojen.aspx?proj=52364	ChiCTR2000031955	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		NULL		Unclear from registration whether spray is also a traditional medicine.
