,interventions,counts
0,Traditional Medicine,220
30,Hydroxychloroquine,135
9,Convalescent Plasma,131
41,Ivermectin,49
16,Tocilizumab,45
11,Favipiravir,39
164,Stem Cells (Mesenchymal),38
25,Chloroquine,36
20,Lopinavir;Ritonavir,34
93,Povidone-iodine,29
31,Azithromycin;Hydroxychloroquine,27
239,Inactivated SARS-CoV-2 Vaccine,26
82,Colchicine,23
61,Dexamethasone,22
59,Immunoglobulin,21
2,Remdesivir,21
62,Azithromycin,20
225,Enoxaparin,19
26,Methylprednisolone,19
234,Prone Positioning,16
15,BCG Vaccine,14
229,Nitazoxanide,14
45,Anakinra,13
180,Umbilical Cord-Mesenchymal Stem Cells (UC-MSCs),13
8,Ruxolitinib,11
155,Ad5-nCoV,11
339,Mesenchymal Stromal Cells,11
72,Interferon Beta,10
22,Interferon Alpha,9
112,Sarilumab,9
265,Vitamin D,9
384,Hyper-Immunoglobulin,9
187,Hyperbaric Oxygen Therapy,9
216,Baricitinib,9
301,Probiotic,9
258,Hydrogen peroxide,9
535,Adsorbed COVID-19 Inactivated vaccine (Sinovac),8
32,Bamlanivimab,8
264,Nitric Oxide Gas,8
129,Vitamin D3 (Cholecalciferol),8
295,Camostat Mesilate,7
489,ChAdOx1 nCoV-19 vaccine,7
95,Daclatasvir;Sofosbuvir,7
71,Casirivimab;Imdevimab,7
50,Rivaroxaban,7
184,ozone autohemotherapy,7
199,Nafamostat,7
245,Lactoferrin,7
286,Monoclonal antibodies,7
751,NVX-CoV2373,7
246,imatinib,6
276,Gam-COVID-Vac,6
39,Interleukin-7,6
94,Vitamin C,6
298,High flow nasal cannula,6
124,Therapeutic plasma exchange,6
42,Vitamin D (Cholecalciferol),6
80,Losartan,6
83,Aspirin,6
257,cetylpyridinium chloride (CPC),5
259,Chlorhexidine gluconate,5
731,Molnupiravir,5
341,NK cells,5
397,Low molecular weight heparin (LMWH),5
468,Vero Cell Vaccine,5
522,INO-4800,5
108,Oseltamivir,5
676,Mavrilimumab,4
86,Favipiravir;Hydroxychloroquine,4
661,Yoga,4
830,SCB-2019,4
493,Corticosteroids (Unspecified),4
170,Angiotensin 1-7,4
135,Telmisartan,4
125,Bamlanivimab;Etesevimab,4
847,Methotrexate,4
107,Bromhexine,4
113,Umifenovir (Arbidol),4
497,Quercetin,4
464,Zinc,4
161,Continuous renal replacement therapy,4
24,itolizumab,4
437,Ascorbic Acid,4
364,Oxygen,4
60,Ulinastatin,4
224,Unfractionated heparin,4
394,Pulmozyme,4
69,Radiation,4
198,Cetylperidium chloride,4
638,Measles Mumps and Rubella vaccine,4
74,Doxycycline;Ivermectin,4
38,Ciclesonide,4
37,AZD7442,4
390,Recombinant new coronavirus vaccine (CHO cell),4
33,Sotrovimab,4
433,Abidol,4
158,Nivolumab,3
475,Ad26.COV2.S,3
253,adenoviral-based vaccine against SARS-CoV-2,3
251,Aerosolized 13 cis retinoic acid,3
422,thalidomide,3
196,Melatonin,3
639,Low dose radiotherapy,3
324,Chlorhexidine gluconate;Hydrogen peroxide,3
589,CVnCoV,3
806,aerosol inhalation,3
141,Atorvastatin,3
136,Doxycycline,3
260,SCTA01,3
406,Tofacitinib,3
3,Cytokine absorber,3
549,Proxalutamide,3
316,Biomodulin T,3
299,AdimrSC-2f Vaccine,3
200,tracheotomy,3
388,Pemziviptadil,3
131,Budesonide,3
189,pirfenidone,3
312,Ravulizumab,3
1,Azvudine,3
462,Mycobacterium w,3
463,Iodine,3
469,CPAP,3
315,Sargramostim,3
6,BNT162b2,3
173,Bevacizumab,3
171,Farpiravir,3
766,CIGB-258 peptide,3
4,Canakinumab,3
655,Nasopharyngeal saline wash,3
204,SnPP Protoporphyrin;Sunlight exposure,3
595,Niclosamide,3
54,Asunercept,3
562,Tinzaparin,3
354,BRII-196,3
852,MF59 adjuvanted SARS-CoV-2 Sclamp vaccine,3
343,Leronlimab,3
686,mRNA-1273 vaccine,3
342,13 cis retinoic acid,3
568,Novaferon,3
88,Hydroxychloroquine;Lopinavir;Ritonavir,3
561,Dalcetrapib,3
353,BRII-198,3
856,ACE Inhibitors;Angiotensin Receptor Blockers (ARB),3
525,GBP510,3
100,Danoprevir;Ritonavir,3
10,Acalabrutinib,3
57,Mouthrinse,3
123,Phytomedicine,3
338,Famotidine,3
221,Methylene Blue,2
228,Ledipasvir;Sofosbuvir,2
543,Bemcentinib,2
870,Bemiparin sodium,2
627,Recombinant Nematode Anticoagulant Protein c2,2
541,GRAd-COV2 vaccine,2
63,Clarithromycin,2
770,photobiomodulation therapy (PBMT),2
396,Training,2
291,Atorvastatin;Folic Acid;L-Arginine;Nebivolol;Nicorandil,2
524,Isoquercetin,2
395,Sulodexide,2
349,Tranexamic acid (TXA),2
70,Prednison,2
393,Clazakizumab,2
519,Montelukast,2
348,NuSepin,2
206,heparin,2
230,EDP1815,2
584,BNT162b2;ChAdOx1 nCoV-19 vaccine,2
526,Antithrombin,2
860,Aspirin;Ivermectin,2
740,Polyoxidonium,2
27,Interferon Lambda,2
269,Dactolisib (RTB101),2
268,Maraviroc,2
405,Defibrotide,2
538,Reparixin,2
21,Interleukin-2,2
745,IMUNOR,2
403,Low Dose Radiation,2
19,Baloxavir marboxil,2
684,Broncho-Vaxom adult capsules® (OM85),2
536,N-acetyl cysteine,2
18,Traditional Medicine;Vitamin C,2
256,Bone Marrow Mesenchymal Stem Cells,2
532,ChAdOx1 nCoV-19 vaccine;rAd26-S,2
551,photodynamic therapy,2
421,Thymosin,2
46,Siltuximab,2
753,hzVSF-v13,2
754,iota-carrageenan,2
49,Chloroquine;Hydroxychloroquine,2
558,SARS-CoV-2 antigen rapid test,2
244,Pentoxifylline,2
755,CoV2 preS dTM,2
365,Physical therapy,2
635,nebulized heparin,2
688,High flow nasal cannula;Prone Positioning,2
427,Nintedanib,2
288,Hydroxychloroquine;Nitazoxanide,2
517,DailyTab Gold lmmuno Booster,2
615,Low-flow nasal cannula,2
889,Homeostec,2
334,Zilucoplan,2
467,poractant alfa,2
668,Awake Proning,2
106,Umifenovir,2
371,Ivermectin;Zinc,2
696,Dipyridamole,2
500,Recombinant Interferon Alpha,2
332,Endotracheal intubation,2
834,HBsAg VLP Vaccine,2
383,Camostat mesylate,2
484,Asbrip;Viusid,2
473,QazCovid-in,2
172,Suramin sodium,2
115,Ixekizumab,2
116,Hemoperfusion,2
156,sirolimus,2
498,Baricitinib;Lopinavir;Ritonavir,2
154,Low Flow Extracorporeal Membrane Oxygenation (ECMO),2
320,Emtricitabine;Tenofovir,2
151,High-Flow Nasal Oxygen,2
814,jaktinib hydrochloride,2
837,Chest PhysioTherapy (CPT);non-invasive oscillating device (NIOD),2
705,lanadelumab,2
323,Low molecular weight heparin (LMWH);Unfractionated heparin,2
593,abivertinib maleate,2
693,Ibuprofen,2
604,Pioglitazone,2
307,Avdoralimab,2
195,Chlorpromazine,2
308,DFV890,2
23,Ozone,2
79,Clindamycin;Hydroxychloroquine;Primaquine,2
513,Meplazumab,2
602,Senicapoc,2
511,Fluvoxamine,2
373,Essential oils,2
183,leflunomide,2
461,Carrimycin,2
137,FINLAY-FR-1A,2
179,escin,2
347,Alteplase,2
99,Deferoxamine,2
176,Sodium Bicarbonate,2
306,Pegylated IFN alfa-2b,2
367,Hydroxychloroquine;Zinc,2
673,RESP301,1
650,Oxford/AZ-ChAdOx1 nCoV-19 vaccine,1
651,Covishield,1
672,COVAX-19 vaccine,1
667,amniotic fluid,1
652,Ashwagandha tablet;Shunti capsule,1
670,Sevoflurane,1
678,Allocetra-OTS,1
669,Propofol,1
671,Coronavirus-Like Particle COVID-19 Vaccine,1
666,Bryonia alba,1
665,Gelsemium sempervirens,1
653,Nilavembu Kuidneer,1
664,Phosphorus,1
660,Vedicinals-9,1
654,Kaba sura Kudineer,1
656,Pavidone iodine gargling;Saline gargling;Steam inhation,1
657,Dabur chyawanprash;Giloy ki Ghanvati;Kalmegh Tablets;Tulsi tablets,1
674,icosapent ethyl,1
677,INOSARS,1
675,P-MMSCs,1
663,Curaneum 20,1
662,RV Forte Capsule,1
658,Cordyceps capsules,1
659,AyurCov3,1
649,Meditation,1
609,FX06,1
648,Panchgavya Therapy,1
585,immediate-release 20-hydroxyecdysone (BIO101),1
576,Glycyhrrizic acid;Povidone-iodine,1
577,Artemisinin;cineol,1
578,Sputnik Light Vector Vaccine,1
579,intranasal and oral disinfection;oral disinfection,1
580,Corticosteroids (Unspecified);Cyclosporine A Plus;Enoxaparin,1
581,C21,1
582,BNO 1030 (Imupret),1
583,High Frequency Chest Wall Oscillation (HFCWO) device,1
586,V590,1
647,Neem Capsules (Azadirachta indica),1
587,BI 764198,1
588,Lung physiotherapy;pulse oximeter,1
590,AZD1656,1
591,Oseltamivir;vidofludimus calcium,1
592,Low Dose Thimerosal,1
594,S-nitrosylation (SNO) therapy,1
596,Nitazoxanide;Ribavirin,1
597,allogeneic T memory cells,1
575,Artemisinin,1
574,Video chat,1
573,Silmitasertib,1
572,Fenofibrate,1
552,Hesperidin,1
553,Thymic peptides,1
554,Estetrol monohydrate,1
555,EEG-based sedation with mechanical ventilation,1
556,Secretome of Hypoxia-Mesenchymal Stem Cells,1
557,Low-field thoracic magnetic stimulation (LF-ThMS),1
559,Diclofenac sodium;Menthol;Methyl salicylate;N-acetyl cysteine,1
560,cetylpyridinium chloride (CPC);zinc lactate,1
550,BioNTech/Pfizer/COMIRNATY vaccine,1
563,Cisatracurium,1
564,High-Flow Nasal Oxygen;Oxygen mask,1
565,Prednisone,1
566,In Situ Thrombolysis With tPA,1
567,Methylene Blue;photodynamic therapy,1
569,chlorhexidine (CHX),1
570,N-acetylglucosamine,1
571,Triflo Deep Breathing,1
598,allogeneic NK cells,1
599,Prolonged Prone Positioning,1
600,Fostamatinib,1
624,Closed face shield;Surgical Mask,1
626,Desidustat,1
628,Beta carotene;Copper;Vitamin C;Zinc,1
629,Multivitamin,1
630,Remote Ischemic Conditioning,1
631,Edoxaban;Low molecular weight heparin (LMWH),1
632,Amodiaquine;Artesunate,1
633,Artesunate;Pyronaridine,1
634,Favipiravir;Nitazoxanide,1
636,STOPCOV intervention,1
637,Matrix-M1,1
640,micronized flavonoids,1
641,Nibima,1
642,AYUSH 64,1
643,Ashwagandha,1
644,2-Deoxy-D-Glucose,1
645,254 nm ultraviolet C rays,1
646,Arsenicum album 30;Bryonia 30;Camphora 1M,1
625,Surgical Mask,1
623,Ovotransferrin,1
601,Oscillation and Lung Expansion (OLE) Therapy,1
622,BBV152 (Whole-Virion Inactivated SARS-CoV-2 Vaccine),1
603,Nicotine patch,1
680,telmisartan,1
605,Alisporivir,1
606,Cod liver oil,1
607,Remimazolam,1
608,Inspiratory training;Physical therapy,1
610,Isoquercetin;Masitinib,1
611,Acetyl L-Carnitine,1
612,Human Ezrin Peptide 1 (HEP1),1
613,Monoc,1
614,monoclonal antibody,1
616,Double-Trunk Mask;Low-flow nasal cannula,1
617,Low-flow nasal cannula;Surgical Mask,1
618,Face mask;Face mask awareness,1
619,Prayer,1
620,L-Arginine,1
621,poliovirus vaccine (IPV),1
679,Razuprotafib,1
739,Artesunate,1
681,Antioxidation therapy,1
825,Resveratrol;Zinc Picolinate,1
816,chlorine dioxide,1
817,Famotidine;Lactoferrin;Zinc,1
818,Zinc;chlorine dioxid,1
819,Famotidine;Lactoferrin,1
820,Famotidine;Lactoferrin;chlorine dioxide,1
821,Famotidine;Lactoferrin;Zinc;chlorine dioxide,1
822,Tozorakimab (MEDI3506),1
823,Anakinra;Aprotinin;Low molecular weight heparin (LMWH),1
824,AT-527,1
826,SPL7013,1
