referenceid	username	db_id	trialid	source_register	title	web_address	trns	completion_month	is_german_covidevidence	is_german_in_germany	is_german_drks	is_german_euctr	is_searched_cutoff_2	is_searched_cutoff_3	abstract	type	control_type	placebo_plus_soc	category	intervention	intervention_plus_soc
5	ndevito	tri00037	ChiCTR2000029790	ChiCTR	Clinical study for the integration of traditional Chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49453	ChiCTR2000029790	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	traditional_medicine	Traditional Medicine	undefined_soc
5	ndevito	tri00037	ChiCTR2000029790	ChiCTR	Clinical study for the integration of traditional Chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49453	ChiCTR2000029790	2020-10-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
4	ndevito	tri00030	ChiCTR2000029814	ChiCTR	Clinical Trial for Integrated Chinese and Western Medicine in the Treatment of Children with Novel Coronavirus Pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49387	ChiCTR2000029814	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	traditional_medicine	Traditional Medicine	undefined_soc
4	ndevito	tri00030	ChiCTR2000029814	ChiCTR	Clinical Trial for Integrated Chinese and Western Medicine in the Treatment of Children with Novel Coronavirus Pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49387	ChiCTR2000029814	2020-12-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
3	ndevito	tri00028	ChiCTR2000029819	ChiCTR	Ba-Bao-Dan in the adjuvant therapy of novel coronavirus pneumonia (COVID-19) patients	http://www.chictr.org.cn/showprojen.aspx?proj=49490	ChiCTR2000029819	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	traditional_medicine	Traditional Medicine	undefined_soc
3	ndevito	tri00028	ChiCTR2000029819	ChiCTR	Ba-Bao-Dan in the adjuvant therapy of novel coronavirus pneumonia (COVID-19) patients	http://www.chictr.org.cn/showprojen.aspx?proj=49490	ChiCTR2000029819	2020-08-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
2	ndevito	tri00022	ChiCTR2000029853	ChiCTR	A randomized, open-label, controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49532	ChiCTR2000029853	2020-04-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	drug	Azvudine	no
2	ndevito	tri00022	ChiCTR2000029853	ChiCTR	A randomized, open-label, controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49532	ChiCTR2000029853	2020-04-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
1	ndevito	tri00011	ChiCTR2000029941	ChiCTR	A randomized controlled trial for Traditional Chinese Medicine in the treatment for Novel Coronavirus Pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49596	ChiCTR2000029941	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		experimental	NULL	NULL	traditional_medicine	Traditional Medicine	undefined_soc
1	ndevito	tri00011	ChiCTR2000029941	ChiCTR	A randomized controlled trial for Traditional Chinese Medicine in the treatment for Novel Coronavirus Pneumonia (COVID-19)	http://www.chictr.org.cn/showprojen.aspx?proj=49596	ChiCTR2000029941	2020-06-01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		control	undefined_soc	NULL	NULL	NULL	NULL
