index,trialid,source_register,date_registration,date_enrollement,retrospective_registration,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,study_category,intervention,intervention_list,target_enrollment,web_address,cross_registrations
0,ISRCTN18948812,ISRCTN,2014-04-09,2014-01-05,True,Covidien,Not Recruiting,Not Applicable,Interventional,United Kingdom,A post-market clinical study to evaluate the Kangarooâ„¢ ePump enteral feeding pump automated water flushes on water delivery and compliance,Not relevant,Not relevant,Not relevant,100,http://isrctn.com/ISRCTN18948812,None
1,NCT00223119,ClinicalTrials.gov,2005-09-13,2004-01-01,True,Covidien,Not Recruiting,Phase 4,Interventional,United States,Comparison of Absorbable Sutures in Perineal Laceration Repair,Not relevant,Not relevant,Not relevant,Not Available,http://clinicaltrials.gov/show/NCT00223119,None
2,NCT00223132,ClinicalTrials.gov,2005-09-13,2005-02-01,True,Covidien,Not Recruiting,Phase 4,Interventional,United States,Suture Granuloma in Body Contouring Surgery,Not relevant,Not relevant,Not relevant,Not Available,http://clinicaltrials.gov/show/NCT00223132,None
3,NCT00289523,ClinicalTrials.gov,2006-02-08,2006-01-01,True,Covidien,Not Recruiting,Not Applicable,Observational,United States,EEG Biomarkers for Predicting Response to Antidepressant Therapy,Not relevant,Not relevant,Not relevant,375,http://clinicaltrials.gov/show/NCT00289523,None
4,NCT00308984,ClinicalTrials.gov,2006-03-28,2006-01-01,True,Covidien,Not Recruiting,Not Applicable,Observational,United States,CARE--Childhood Awareness and Recall Evaluation,Not relevant,Not relevant,Not relevant,1784,http://clinicaltrials.gov/show/NCT00308984,None
5,NCT00450710,ClinicalTrials.gov,2007-03-21,2006-03-01,True,Covidien,Not Recruiting,Phase 4,Interventional,Brazil,Neuroendocrine Brake for Type 2 Diabetes Mellitus,Not relevant,Not relevant,Not relevant,40,http://clinicaltrials.gov/show/NCT00450710,None
6,NCT00456352,ClinicalTrials.gov,2007-04-02,2007-04-01,True,Covidien,Not Recruiting,Phase 4,Interventional,Brazil,Duodenal Exclusion for the Treatment of T2DM,Not relevant,Not relevant,Not relevant,37,http://clinicaltrials.gov/show/NCT00456352,None
7,NCT00596973,ClinicalTrials.gov,2007-11-28,2008-01-01,False,Covidien,Not Recruiting,Phase 4,Interventional,United States,Surgical Treatment of Type 2 Diabetes in Non-Morbidly Obese Patients,Not relevant,Not relevant,Not relevant,0,http://clinicaltrials.gov/show/NCT00596973,None
8,NCT00689130,ClinicalTrials.gov,2008-05-30,2008-05-01,True,Covidien,Not Recruiting,Not Applicable,Observational,"United States, Spain",ADVANCE: Assessment for Defining Variability in Anesthesia Through Novel Clinical EEG,Not relevant,Not relevant,Not relevant,120,http://clinicaltrials.gov/show/NCT00689130,None
9,NCT00832767,ClinicalTrials.gov,2009-01-29,2009-04-01,False,Covidien,Not Recruiting,Phase 4,Interventional,"United Kingdom, United States, Italy",SILSâ„¢ Port Laparoscopic Cholecystectomy Post Market Study,Not relevant,Not relevant,Not relevant,200,http://clinicaltrials.gov/show/NCT00832767,None
10,NCT01026025,ClinicalTrials.gov,2009-12-03,2011-01-01,False,Covidien,Not Recruiting,Not Applicable,Interventional,United States,Duet TRS Used in Pulmonary Resections,Not relevant,Not relevant,Not relevant,0,http://clinicaltrials.gov/show/NCT01026025,None
11,NCT01110109,ClinicalTrials.gov,2010-04-22,2010-04-01,True,Covidien,Not Recruiting,Not Applicable,Observational,United States,Removing Fluid Above Breathing Tubes in the Operating Room,Not relevant,Not relevant,Not relevant,48,http://clinicaltrials.gov/show/NCT01110109,None
12,NCT01241617,ClinicalTrials.gov,2010-07-30,2010-08-01,False,Covidien,Not Recruiting,Not Applicable,Interventional,Japan,ENDO GIA Stapler With Duet Tissue Reinforcement System (TRS) Used in Pulmonary Resections,Not relevant,Not relevant,Not relevant,100,http://clinicaltrials.gov/show/NCT01241617,None
13,NCT01483547,ClinicalTrials.gov,2011-11-25,2011-11-01,True,Fondazione IRCCS Istituto Neurologico Carlo Besta,Not Recruiting,Not Applicable,Observational,Italy,Reliability of BIS Monitoring in Neurosurgical Patients,Not relevant,Not relevant,Not relevant,405,http://clinicaltrials.gov/show/NCT01483547,None
14,NCT01531426,ClinicalTrials.gov,2012-02-06,2012-01-01,True,Charité University,Not Recruiting,Not Applicable,Observational,Germany,Cerebral Oxygenation in Cardiac Arrest and Hypothermia,Not relevant,Not relevant,Not relevant,94,http://clinicaltrials.gov/show/NCT01531426,None
15,NCT01720355,ClinicalTrials.gov,2012-10-31,2012-08-01,True,Covidien,Not Recruiting,Not Applicable,Observational,United States,Pulse Oximetry- Performance During Severe Signal Interference,Not relevant,Not relevant,Not relevant,17,http://clinicaltrials.gov/show/NCT01720355,None
16,NCT01747460,ClinicalTrials.gov,2012-11-27,2012-09-01,True,Covidien,Not Recruiting,Not Applicable,Observational,United States,Pulse Oximetry_Performance Testing- PCBA-1 (Printed Circuit Board Assembly),Not relevant,Not relevant,Not relevant,25,http://clinicaltrials.gov/show/NCT01747460,None
17,NCT01747473,ClinicalTrials.gov,2012-11-27,2012-11-01,True,Covidien,Not Recruiting,Not Applicable,Observational,United States,Pulse Oximetry_Performance During Severe Signal Interference - PCBA-1 (Printed Circuit Board Assembly),Not relevant,Not relevant,Not relevant,17,http://clinicaltrials.gov/show/NCT01747473,None
18,NCT01791569,ClinicalTrials.gov,2012-11-29,2012-09-01,True,Covidien,Not Recruiting,Not Applicable,Observational,United States,Pulse Oximetry- Evaluating Sensor Off- PCBA-1,Not relevant,Not relevant,Not relevant,20,http://clinicaltrials.gov/show/NCT01791569,None
19,NCT01791582,ClinicalTrials.gov,2012-11-29,2012-10-01,True,Covidien,Not Recruiting,Not Applicable,Observational,United States,Pulse Oximetry- Evaluating Resp Rate- PCBA-1,Not relevant,Not relevant,Not relevant,27,http://clinicaltrials.gov/show/NCT01791582,None
20,NCT01797250,ClinicalTrials.gov,2013-02-20,2013-05-01,False,Covidien,Not Recruiting,Not Applicable,Observational,United States,Pulse Oximetry_Performance Testing- PCBA-1 (Printed Circuit Board Assembly) NEO/PEDS,Not relevant,Not relevant,Not relevant,12,http://clinicaltrials.gov/show/NCT01797250,None
21,NCT01881269,ClinicalTrials.gov,2013-06-17,2013-06-01,True,Covidien,Not Recruiting,Not Applicable,Observational,United States,Respiration Rate Monitoring During Transitions,Not relevant,Not relevant,Not relevant,27,http://clinicaltrials.gov/show/NCT01881269,None
22,NCT02075346,ClinicalTrials.gov,2014-02-27,2013-11-01,True,Covidien,Not Recruiting,Not Applicable,Observational,United States,Bedside Respiratory Patient Monitoring System - Sensor Off Study,Not relevant,Not relevant,Not relevant,18,http://clinicaltrials.gov/show/NCT02075346,None
23,NCT02075398,ClinicalTrials.gov,2014-02-27,2013-12-01,True,Covidien,Not Recruiting,Not Applicable,Observational,United States,Nellcor Bedside Respiratory Patient Monitoring System With Respiration Rate Version 2.0,Not relevant,Not relevant,Not relevant,35,http://clinicaltrials.gov/show/NCT02075398,None
24,NCT02617355,ClinicalTrials.gov,2015-11-24,2011-10-01,True,Maisonneuve-Rosemont Hospital,Not Recruiting,Not Applicable,Interventional,No Country Given,Interference Between Surgical Magnetic Drapes and Pacemakers,Not relevant,Not relevant,Not relevant,47,https://clinicaltrials.gov/show/NCT02617355,None
25,NCT02658903,ClinicalTrials.gov,2015-11-20,2016-01-01,False,Oxys Medical AG,Recruiting,Phase 1,Interventional,Switzerland,Prevention of Catheter Associated Lower Urinary Infections Using the Oxys Indwelling Catheter,Not relevant,Not relevant,Not relevant,54,https://clinicaltrials.gov/show/NCT02658903,None
26,NCT02308995,ClinicalTrials.gov,2014-12-03,2014-12-01,True,Aljazeera Hospital,Recruiting,Phase 2,Interventional,Egypt,Barbed Sutures Versus Conventional Sutures in Laparoscopic Excision of Endometrioma,Not relevant,Not relevant,Not relevant,40,https://clinicaltrials.gov/show/NCT02308995,None
27,NCT02805322,ClinicalTrials.gov,2016-06-09,2016-04-01,True,ARC Devices,Not Recruiting,Phase 4,Interventional,Ireland,"Comparison of a Novel Non-Invasive, Non-Touch Infrared Thermometer With Routine Thermometry in Routine Clinical Practice",Not relevant,Not relevant,Not relevant,138,https://clinicaltrials.gov/show/NCT02805322,None
28,ISRCTN15554338,ISRCTN,2015-04-02,2006-01-08,True,Covidien,Not Recruiting,Not Applicable,Interventional,United Kingdom,Cathasept for prevention of catheter colonisation,Not relevant,Not relevant,Not relevant,140,http://isrctn.com/ISRCTN15554338,None
29,NCT02748629,ClinicalTrials.gov,2016-04-12,2015-03-01,True,"Regional Health Center in Kartuzy, Poland",Not Recruiting,Not Applicable,Interventional,Poland,ProGrip Mesh Repair vs Lichtenstein Operation,Not relevant,Not relevant,Not relevant,143,https://clinicaltrials.gov/show/NCT02748629,None
30,NCT02949856,ClinicalTrials.gov,2016-10-20,2016-10-01,True,Keimyung University Dongsan Medical Center,Not Recruiting,Not Applicable,Interventional,No Country Given,E-T Tube Cuff Pressure Change After Changing Position From Neutral to Hyperextension of Neck,Not relevant,Not relevant,Not relevant,50,https://clinicaltrials.gov/show/NCT02949856,None
31,ISRCTN13646289,ISRCTN,2016-12-21,2013-05-08,True,Covidien,Not Recruiting,Not Applicable,Interventional,Taiwan,Study of the effectiveness and safety of LigaSureâ„¢ in hysterectomy,Not relevant,Not relevant,Not relevant,72,http://isrctn.com/ISRCTN13646289,None
32,NCT01169311,ClinicalTrials.gov,2010-07-22,2010-07-01,True,Medtronic,Not Recruiting,Not Applicable,Interventional,United States,Safety and Performance of the Covidien EEA Hemorrhoid and Prolapse Stapling Set in a Hemorrhoidopexy Procedure,Not relevant,Not relevant,Not relevant,27,https://clinicaltrials.gov/show/NCT01169311,None
33,NCT01306877,ClinicalTrials.gov,2011-01-28,2011-01-01,True,Medtronic,Not Recruiting,Not Applicable,Interventional,United States,Comparison Study of Surgical Staplers for the Treatment of Hemorrhoids,Not relevant,Not relevant,Not relevant,149,https://clinicaltrials.gov/show/NCT01306877,None
34,NCT01664806,ClinicalTrials.gov,2012-08-10,2010-11-01,True,"University of Colorado, Denver",Not Recruiting,Phase 3,Interventional,United States,Laparoscopic Cholecystectomy And Capacitive Coupling - Coag Versus Blend Mode Causing Thermal Injury at Port Site Skin,Not relevant,Not relevant,Not relevant,40,https://clinicaltrials.gov/show/NCT01664806,None
35,NCT01706822,ClinicalTrials.gov,2012-10-11,2013-04-01,False,Medtronic,Not Recruiting,Phase 4,Interventional,United States,Radial Reload Laparoscopic LAR Case Series,Not relevant,Not relevant,Not relevant,8,https://clinicaltrials.gov/show/NCT01706822,None
36,NCT01717014,ClinicalTrials.gov,2012-10-26,2013-05-01,False,Medtronic,Not Recruiting,Not Applicable,Interventional,United States,Radial Reload Open LAR Case Series,Not relevant,Not relevant,Not relevant,8,https://clinicaltrials.gov/show/NCT01717014,None
37,NCT00489268,ClinicalTrials.gov,2007-06-19,2003-11-01,True,Covidien,Not Recruiting,Not Applicable,Interventional,"United States, Puerto Rico","Micro-Layer Ablation of Barrett's Metaplasia- A Two-Phase, Multi-Center Trial - Extension of Follow-up to 5 Years",Not relevant,Not relevant,Not relevant,102,https://clinicaltrials.gov/show/NCT00489268,None
38,NCT01455519,ClinicalTrials.gov,2011-10-11,2011-10-01,True,Shirley Ryan AbilityLab,Not Recruiting,Phase 4,Interventional,United States,True Functional Restoration and Analgesia in Non-Radicular Low Back Pain,Not relevant,Not relevant,Not relevant,51,https://clinicaltrials.gov/show/NCT01455519,None
39,NCT01765686,ClinicalTrials.gov,2012-12-13,2012-12-01,True,"National Cancer Centre, Singapore",Not Recruiting,Not Applicable,Interventional,Singapore,Comparing Harmonic Ultrasonic Scalpel to Small Jaw Bipolar Device in Thyroid Surgery,Not relevant,Not relevant,Not relevant,100,https://clinicaltrials.gov/show/NCT01765686,None
