,id,id_hits,prefix_hits,reg_name_hits,pub_types,doi,pm_id,cord_id,url,title,review_in_title,review_type,doi_link
20,00qqpkfd,['NCT04412304'],['NCT'],['Clinicaltrials.gov'],,10.1101/2020.09.17.20195867,,00qqpkfd,http://medrxiv.org/cgi/content/short/2020.09.17.20195867v1?rss=1; https://doi.org/10.1101/2020.09.17.20195867,DOSING OF THROMBOPROPHYLAXIS AND MORTALITY IN CRITICALLY ILL COVID-19 PATIENTS AUTHORS,False,,http://doi.org/10.1101/2020.09.17.20195867
39,01hxgcds,"['NCT04328441', 'NCT04327206']",['NCT'],,,10.1101/2020.06.09.20126631,,01hxgcds,https://doi.org/10.1101/2020.06.09.20126631; http://medrxiv.org/cgi/content/short/2020.06.09.20126631v1?rss=1,Rapid characterization of the propagation of COVID-19 in different countries,False,,http://doi.org/10.1101/2020.06.09.20126631
109,03vur818,['NCT04473170'],['NCT'],['clinicaltrials.gov'],,10.1186/s43055-021-00492-3,,03vur818,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8079845/,Stem cell nebulization therapy for COVID- 19 infection: radiological and clinical outcomes,False,,http://doi.org/10.1186/s43055-021-00492-3
112,0441ezu8,['NCT04368728'],['NCT'],,,10.1101/2020.09.08.280818,,0441ezu8,https://doi.org/10.1101/2020.09.08.280818,A prefusion SARS-CoV-2 spike RNA vaccine is highly immunogenic and,False,,http://doi.org/10.1101/2020.09.08.280818
122,04dq9b4r,['NCT04394416'],['NCT'],['clinicaltrials.gov'],,10.1101/2020.07.07.20148395,,04dq9b4r,http://medrxiv.org/cgi/content/short/2020.07.07.20148395v1?rss=1; https://doi.org/10.1101/2020.07.07.20148395,Disease severity-specific neutrophil signatures in blood 1 transcriptomes stratify COVID-19 patients 2 25 6 Platform for Single Cell Genomics and Epigenomics at the German Center for,False,,http://doi.org/10.1101/2020.07.07.20148395
306,0b9qemno,['NCT03680521'],['NCT'],,,10.1101/2021.05.13.443955,,0b9qemno,https://doi.org/10.1101/2021.05.13.443955,Tyrosine Kinase Inhibitor Family of Drugs as Prospective Targeted Therapy for COVID-19 Based on In Silico And 3D-Human Vascular Lung Model Studies,False,,http://doi.org/10.1101/2021.05.13.443955
342,0cihei1f,"['NCT04768244', 'NCT04751734', 'NCT03552939']",['NCT'],['ClinicalTrials.gov'],,10.1101/2021.05.20.21257512,,0cihei1f,http://medrxiv.org/cgi/content/short/2021.05.20.21257512v1?rss=1; https://doi.org/10.1101/2021.05.20.21257512,"Anti-Sars-Cov-2 IgA And IgG In Human Milk After Vaccination Is Dependent On Vaccine Type And Previous Sars-Cov-2 Exposure: A Longitudinal Study. 2 3 (PhD) 1a* on behalf of MilkCORONA study team Key Points Meaning: Maternal SARS-CoV-2 vaccination provides anti-SARS-CoV-2 antibodies, 13 both IgA and IgG, in human milk and it depends on vaccines and previous COVID-19",False,,http://doi.org/10.1101/2021.05.20.21257512
347,0cmsi1qh,['ISRCTN16912075'],['ISRCTN'],,,10.1177/1751143720980280,,0cmsi1qh,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7750247/,The variation of FiO 2 with circuit type and peak inspiratory flow rate during non-invasive respiratory support using domiciliary ventilators and its significance during the COVID-19 pandemic,False,,http://doi.org/10.1177/1751143720980280
349,0cww1q5p,['NCT04558996'],['NCT'],['ClinicalTrials.gov'],,10.1016/j.ejogrb.2021.07.008,,0cww1q5p,https://api.elsevier.com/content/article/pii/S0301211521003432; https://www.sciencedirect.com/science/article/pii/S0301211521003432?v=s5,Journal Pre-proofs Association of ABO and Rh Blood Groups with obstetric outcomes in SARS- CoV-2 infected pregnancies: A prospective study with a multivariate analysis Association of ABO and Rh Blood Groups with obstetric outcomes in SARS-CoV-2 infected pregnancies: A prospective study with a multivariate analysis,False,,http://doi.org/10.1016/j.ejogrb.2021.07.008
356,0d7j79mi,"['NCT04377711', 'NCT04330586', 'NCT04355637', 'NCT04416399']",['NCT'],,,10.1016/j.jaci.2020.11.019,,0d7j79mi,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7773007/,,False,,http://doi.org/10.1016/j.jaci.2020.11.019
379,0dpg8x0k,"['NCT04349410', 'NCT04386447', 'NCT04315948', 'NCT04292899', 'NCT04320277', 'NCT04280705', 'NCT04331665', 'NCT04355793', 'NCT04383548', 'NCT04400058', 'ChiCTR2000029308', 'NCT04390061', 'NCT04361903', 'NCT04321993', 'NCT04273763', 'NCT04276896', 'NCT04343768', 'NCT04374149', 'NCT04346147', 'NCT04324606', 'NCT04379245', 'NCT04292730', 'NCT04393051', 'NCT04389645', 'NCT04302519', 'NCT04293887', 'NCT04338958', 'NCT04269525', 'NCT04366232', 'NCT04261426', 'NCT04321616', 'NCT04350671', 'NCT04348695', 'NCT04254874', 'NCT04362943', 'NCT04332042', 'NCT04334044', 'NCT04377620', 'NCT04291729', 'NCT04350580', 'NCT04359095', 'NCT04264858', 'NCT04361461', 'NCT04320238', 'NCT04348071', 'NCT04313127', 'ChiCTR2000029989', 'NCT04345289', 'NCT04330690', 'NCT04293692', 'NCT04373044', 'NCT04395170', 'NCT04374071', 'NCT04337359', 'NCT04362137', 'NCT04358614', 'NCT04340232', 'NCT04288102', 'NCT04276688', 'NCT04273321', 'NCT04359290', 'NCT04399798']","['ChiCTR', 'NCT']",,,10.1186/s43556-020-00017-w,,0dpg8x0k,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7711057/,Update on treatment and preventive interventions against COVID-19: an overview of potential pharmacological agents and vaccines,False,,http://doi.org/10.1186/s43556-020-00017-w
497,0hz8kkkg,"['NCT 03502525', 'NCT03502525']",['NCT'],,,10.3389/fsoc.2021.619560,,0hz8kkkg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8022482/,A Multistage Process Model of How a Person Who Currently Injects Drugs Comes to Assist Persons Who Do not Inject with Their First Injections,False,,http://doi.org/10.3389/fsoc.2021.619560
537,0iydpg2t,['NCT04370262'],['NCT'],,,10.1101/2020.07.15.203059,,0iydpg2t,https://doi.org/10.1101/2020.07.15.203059,TH E E F F E C T O F F AM O TI D I N E O N S AR S -C O V -2 P R O TE AS E S AN D V I R U S RE P LI C ATI O N,False,,http://doi.org/10.1101/2020.07.15.203059
563,0k6xlmem,['NCT04315948'],['NCT'],,,10.1101/2020.09.16.20195750,,0k6xlmem,http://medrxiv.org/cgi/content/short/2020.09.16.20195750v1?rss=1; https://doi.org/10.1101/2020.09.16.20195750,Association between corticosteroids and intubation or death among patients with COVID-19 pneumonia in non-ICU settings: an observational study using of real-world data from 51 hospitals in France and Luxembourg The COCORICO Collaborative Group Writing committee,False,,http://doi.org/10.1101/2020.09.16.20195750
568,0kbshlf0,"['NCT01395914', 'NCT03743064', 'NCT01387282', 'NCT01387269']",['NCT'],,,10.3390/ijerph18052399,,0kbshlf0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7967729/,Which Impact on Lung Cancer?,False,,http://doi.org/10.3390/ijerph18052399
618,0lwmzjxz,"['NCT04306705', 'NCT04310228', 'ChiCTR2000029765']","['ChiCTR', 'NCT']",,,10.1101/2020.04.02.20051565,,0lwmzjxz,https://doi.org/10.1101/2020.04.02.20051565,Targeting the catecholamine-cytokine axis to prevent SARS-CoV-2 cytokine storm syndrome,False,,http://doi.org/10.1101/2020.04.02.20051565
639,0mn4jua2,['NCT04307693'],['NCT'],,,10.1101/2020.06.27.20141788,,0mn4jua2,http://medrxiv.org/cgi/content/short/2020.06.27.20141788v1?rss=1; https://doi.org/10.1101/2020.06.27.20141788,Mapping the Global Research and Clinical Trials in COVID-19,False,,http://doi.org/10.1101/2020.06.27.20141788
689,0oe5ncwe,"['NCT04381936', 'ISRCTN (50189673']","['ISRCTN', 'NCT']",['clinicaltrials.gov'],,10.1101/2021.06.15.21258542,,0oe5ncwe,https://doi.org/10.1101/2021.06.15.21258542; http://medrxiv.org/cgi/content/short/2021.06.15.21258542v1?rss=1,REGEN-COV for COVID-19,False,,http://doi.org/10.1101/2021.06.15.21258542
703,0ou5f158,['NCT04329650'],['NCT'],,,10.1101/2020.04.20.20061861,,0ou5f158,https://doi.org/10.1101/2020.04.20.20061861,Interleukin-6 blockade for severe COVID-19,False,,http://doi.org/10.1101/2020.04.20.20061861
716,0pdsuim6,['NCT03798457'],['NCT'],,,10.1186/s12879-021-05781-w,,0pdsuim6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7830042/,Acute cardiovascular events in patients with community acquired pneumonia: results from the observational prospective FADOI-ICECAP study,False,,http://doi.org/10.1186/s12879-021-05781-w
767,0rbgbsj8,['NCT02706275'],['NCT'],['ClinicalTrials.gov'],,10.1101/2020.04.03.20052001,,0rbgbsj8,http://medrxiv.org/cgi/content/short/2020.04.03.20052001v1?rss=1; https://doi.org/10.1101/2020.04.03.20052001,Core warming of coronavirus disease 2019 (COVID-19) patients undergoing mechanical ventilation -a protocol for a randomized controlled pilot study,False,,http://doi.org/10.1101/2020.04.03.20052001
805,0sy417j0,['ACTRN12615001257550'],"['ACTRN', 'anzctr']",,,10.1186/s13054-020-03198-6,,0sy417j0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7396943/,Chest physiotherapy improves lung aeration in hypersecretive critically ill patients: a pilot randomized physiological study,False,,http://doi.org/10.1186/s13054-020-03198-6
