,index,trialid,source_register,date_registration,date_enrollement,retrospective_registration,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,study_category,intervention,intervention_list,target_enrollment,web_address,cross_registrations
0,67,NCT04246242,ClinicalTrials.gov,2020-01-27,2020-01-25,True,Xiangya Hospital of Central South University,Not Recruiting,Phase 4,Interventional,No Country Given,A Randomized Multicenter Controlled Clinical Trial of Arbidol in Patients With 2019 Novel Coronavirus (2019-nCoV),Drug,Umifenovir,Umifenovir,500,https://clinicaltrials.gov/show/NCT04246242,None
1,70,ChiCTR2000029947,ChiCTR,2020-02-16,2020-03-01,False,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,A Randomized Controlled Trial for Qingyi No. 4 Compound in the treatment of Convalescence Patients of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,200,http://www.chictr.org.cn/showproj.aspx?proj=49599,None
2,71,ChiCTR2000029941,ChiCTR,2020-02-16,2020-03-01,False,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,A randomized controlled trial for Traditional Chinese Medicine in the treatment for Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,200,http://www.chictr.org.cn/showproj.aspx?proj=49596,None
3,72,ChiCTR2000029939,ChiCTR,2020-02-16,2020-02-10,True,"Hwa Mei Hospital, University of Chinese Academy of Sciences",Recruiting,Not Applicable,Interventional,China,"A Single-blind, Randomized, Controlled Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19)",Drug,Chloroquine,Chloroquine,100,http://www.chictr.org.cn/showproj.aspx?proj=49612,None
4,73,ChiCTR2000029935,ChiCTR,2020-02-16,2020-02-06,True,"Hwa Mei Hospital, University of Chinese Academy of Sciences",Recruiting,Not Applicable,Interventional,China,A Single-arm Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19),Drug,Chloroquine,Chloroquine,100,http://www.chictr.org.cn/showproj.aspx?proj=49607,None
5,79,ChiCTR2000029869,ChiCTR,2020-02-15,2020-02-10,True,Huangshi Hospital of Traditional Chinese Medicine,Not Recruiting,Phase 4,Interventional,China,"A multicenter, randomized, controlled trial for integrated Chinese and western medicine in the treatment of ordinary novel coronavirus pneumonia (COVID-19) based on the ' Internal and External Relieving -Truncated Torsion' strategy",Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,300,http://www.chictr.org.cn/showproj.aspx?proj=49486,None
6,80,ChiCTR2000029867,ChiCTR,2020-02-15,2020-02-15,False,"Beijing You'an Hospital, Capital Medical University",Recruiting,Phase 4,Interventional,China,"The efficacy and safety of carrimycin treatment in patients with novel coronavirus pneumonia (COVID-19): a multicenter, randomized, open-label, controlled trial",Drug,Carrimycin vs. lopinavir/ritonavir,Carrimycin; lopinavir; ritonavir,520,http://www.chictr.org.cn/showproj.aspx?proj=49514,None
7,81,ChiCTR2000029855,ChiCTR,2020-02-15,2020-02-15,False,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Interventional,China,"A randomized, open and controlled clinical trial for traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19)",Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,180,http://www.chictr.org.cn/showproj.aspx?proj=49543,None
8,82,ChiCTR2000029853,ChiCTR,2020-02-15,2020-02-16,False,People's Hospital of Guangshan County,Recruiting,Not Applicable,Interventional,China,"A randomized, open-label, controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)",Drug,Azvudine,Azvudine,20,http://www.chictr.org.cn/showproj.aspx?proj=49532,None
9,83,ChiCTR2000029850,ChiCTR,2020-02-15,2020-02-15,False,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Interventional,China,Study on convalescent plasma treatment for severe patients with novel coronavirus pneumonia (COVID-19),ATMP,Plasma,Plasma,20,http://www.chictr.org.cn/showproj.aspx?proj=49533,None
