,id,id_hits,prefix_hits,reg_name_hits,pub_types,doi,pm_id,cord_id,url,title,review_in_title,review_type,doi_link
12,00qqpkfd,['NCT04412304'],['NCT'],['Clinicaltrials.gov'],,10.1101/2020.09.17.20195867,,00qqpkfd,http://medrxiv.org/cgi/content/short/2020.09.17.20195867v1?rss=1; https://doi.org/10.1101/2020.09.17.20195867,DOSING OF THROMBOPROPHYLAXIS AND MORTALITY IN CRITICALLY ILL COVID-19 PATIENTS AUTHORS,False,,http://doi.org/10.1101/2020.09.17.20195867
24,01hxgcds,"['NCT04328441', 'NCT04327206']",['NCT'],,,10.1101/2020.06.09.20126631,,01hxgcds,https://doi.org/10.1101/2020.06.09.20126631; http://medrxiv.org/cgi/content/short/2020.06.09.20126631v1?rss=1,Rapid characterization of the propagation of COVID-19 in different countries,False,,http://doi.org/10.1101/2020.06.09.20126631
68,0441ezu8,['NCT04368728'],['NCT'],,,10.1101/2020.09.08.280818,,0441ezu8,https://doi.org/10.1101/2020.09.08.280818,A prefusion SARS-CoV-2 spike RNA vaccine is highly immunogenic and,False,,http://doi.org/10.1101/2020.09.08.280818
75,04dq9b4r,['NCT04394416'],['NCT'],['clinicaltrials.gov'],,10.1101/2020.07.07.20148395,,04dq9b4r,https://doi.org/10.1101/2020.07.07.20148395; http://medrxiv.org/cgi/content/short/2020.07.07.20148395v1?rss=1,Disease severity-specific neutrophil signatures in blood 1 transcriptomes stratify COVID-19 patients 2 25 6 Platform for Single Cell Genomics and Epigenomics at the German Center for,False,,http://doi.org/10.1101/2020.07.07.20148395
207,0cmsi1qh,['ISRCTN16912075'],['ISRCTN'],,,10.1177/1751143720980280,,0cmsi1qh,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7750247/,The variation of FiO 2 with circuit type and peak inspiratory flow rate during non-invasive respiratory support using domiciliary ventilators and its significance during the COVID-19 pandemic,False,,http://doi.org/10.1177/1751143720980280
228,0dpg8x0k,"['NCT04292730', 'NCT04361461', 'NCT04358614', 'NCT04343768', 'NCT04273321', 'NCT04345289', 'NCT04340232', 'NCT04362137', 'NCT04390061', 'NCT04400058', 'NCT04293692', 'NCT04377620', 'NCT04366232', 'NCT04359290', 'NCT04261426', 'NCT04393051', 'NCT04332042', 'NCT04338958', 'NCT04291729', 'NCT04361903', 'NCT04350580', 'NCT04379245', 'NCT04389645', 'NCT04276896', 'NCT04374149', 'NCT04374071', 'NCT04395170', 'NCT04337359', 'ChiCTR2000029308', 'NCT04348071', 'NCT04288102', 'NCT04359095', 'NCT04399798', 'NCT04293887', 'NCT04386447', 'NCT04373044', 'NCT04324606', 'ChiCTR2000029989', 'NCT04321616', 'NCT04320277', 'NCT04346147', 'NCT04383548', 'NCT04348695', 'NCT04292899', 'NCT04334044', 'NCT04273763', 'NCT04276688', 'NCT04362943', 'NCT04320238', 'NCT04254874', 'NCT04331665', 'NCT04349410', 'NCT04264858', 'NCT04313127', 'NCT04280705', 'NCT04350671', 'NCT04321993', 'NCT04302519', 'NCT04330690', 'NCT04355793', 'NCT04269525', 'NCT04315948']","['ChiCTR', 'NCT']",,,10.1186/s43556-020-00017-w,,0dpg8x0k,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7711057/,Update on treatment and preventive interventions against COVID-19: an overview of potential pharmacological agents and vaccines,False,,http://doi.org/10.1186/s43556-020-00017-w
329,0iydpg2t,['NCT04370262'],['NCT'],,,10.1101/2020.07.15.203059,,0iydpg2t,https://doi.org/10.1101/2020.07.15.203059,TH E E F F E C T O F F AM O TI D I N E O N S AR S -C O V -2 P R O TE AS E S AN D V I R U S RE P LI C ATI O N,False,,http://doi.org/10.1101/2020.07.15.203059
345,0k6xlmem,['NCT04315948'],['NCT'],,,10.1101/2020.09.16.20195750,,0k6xlmem,https://doi.org/10.1101/2020.09.16.20195750; http://medrxiv.org/cgi/content/short/2020.09.16.20195750v1?rss=1,Association between corticosteroids and intubation or death among patients with COVID-19 pneumonia in non-ICU settings: an observational study using of real-world data from 51 hospitals in France and Luxembourg The COCORICO Collaborative Group Writing committee,False,,http://doi.org/10.1101/2020.09.16.20195750
380,0lwmzjxz,"['NCT04310228', 'ChiCTR2000029765', 'NCT04306705']","['ChiCTR', 'NCT']",,,10.1101/2020.04.02.20051565,,0lwmzjxz,https://doi.org/10.1101/2020.04.02.20051565,Targeting the catecholamine-cytokine axis to prevent SARS-CoV-2 cytokine storm syndrome,False,,http://doi.org/10.1101/2020.04.02.20051565
393,0mn4jua2,['NCT04307693'],['NCT'],,,10.1101/2020.06.27.20141788,,0mn4jua2,https://doi.org/10.1101/2020.06.27.20141788; http://medrxiv.org/cgi/content/short/2020.06.27.20141788v1?rss=1,Mapping the Global Research and Clinical Trials in COVID-19,False,,http://doi.org/10.1101/2020.06.27.20141788
437,0ou5f158,['NCT04329650'],['NCT'],,,10.1101/2020.04.20.20061861,,0ou5f158,https://doi.org/10.1101/2020.04.20.20061861,Interleukin-6 blockade for severe COVID-19,False,,http://doi.org/10.1101/2020.04.20.20061861
476,0rbgbsj8,['NCT02706275'],['NCT'],['ClinicalTrials.gov'],,10.1101/2020.04.03.20052001,,0rbgbsj8,http://medrxiv.org/cgi/content/short/2020.04.03.20052001v1?rss=1; https://doi.org/10.1101/2020.04.03.20052001,Core warming of coronavirus disease 2019 (COVID-19) patients undergoing mechanical ventilation -a protocol for a randomized controlled pilot study,False,,http://doi.org/10.1101/2020.04.03.20052001
504,0sy417j0,['ACTRN12615001257550'],"['anzctr', 'ACTRN']",,,10.1186/s13054-020-03198-6,,0sy417j0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7396943/,Chest physiotherapy improves lung aeration in hypersecretive critically ill patients: a pilot randomized physiological study,False,,http://doi.org/10.1186/s13054-020-03198-6
515,0tfy50fx,"['NCT02654327', 'NCT02282657', 'NCT03255057']",['NCT'],['ClinicalTrials.gov'],,10.1186/s13054-020-03210-z,,0tfy50fx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7412288/,ECCO 2 R therapy in the ICU: consensus of a European round table meeting,False,,http://doi.org/10.1186/s13054-020-03210-z
526,0tycqcqx,['NCT03404193'],"['NCT', 'CTRI']",,,10.1007/s12288-020-01384-8,,0tycqcqx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7729290/,,False,,http://doi.org/10.1007/s12288-020-01384-8
529,0u24azkl,['NCT04351724'],['NCT'],['ClinicalTrials.gov'],,10.1101/2020.12.20.20248563,,0u24azkl,https://doi.org/10.1101/2020.12.20.20248563; http://medrxiv.org/cgi/content/short/2020.12.20.20248563v1?rss=1,,False,,http://doi.org/10.1101/2020.12.20.20248563
573,0wlf8wsa,['ChiCTR2000031088'],['ChiCTR'],['Chinese Clinical Trial Registry'],,10.1101/2020.10.26.20220160,,0wlf8wsa,http://medrxiv.org/cgi/content/short/2020.10.26.20220160v1?rss=1; https://doi.org/10.1101/2020.10.26.20220160,"Features of C-reactive protein in COVID-19 patients with different ages, clinical types and outcomes: a cohort study Features of C-reactive protein in COVID-19 patients with different ages, clinical types and outcomes: a cohort study",False,,http://doi.org/10.1101/2020.10.26.20220160
