id,trn,registry
tri00001,NCT04246242,ClinicalTrials.gov
tri00002,NCT04252885,ClinicalTrials.gov
tri00003,NCT04255940,ClinicalTrials.gov
tri00004,NCT04260308,ClinicalTrials.gov
tri00005,NCT04260594,ClinicalTrials.gov
tri00006,NCT04261426,ClinicalTrials.gov
tri00007,NCT04261907,ClinicalTrials.gov
tri00008,ChiCTR2000029953,ChiCTR
tri00009,ChiCTR2000029949,ChiCTR
tri00010,ChiCTR2000029947,ChiCTR
tri00011,ChiCTR2000029941,ChiCTR
tri00012,ChiCTR2000029939,ChiCTR
tri00013,ChiCTR2000029935,ChiCTR
tri00014,ChiCTR2000029907,ChiCTR
tri00015,ChiCTR2000029905,ChiCTR
tri00016,ChiCTR2000029896,ChiCTR
tri00017,ChiCTR2000029883,ChiCTR
tri00018,ChiCTR2000029870,ChiCTR
tri00019,ChiCTR2000029869,ChiCTR
tri00020,ChiCTR2000029867,ChiCTR
tri00021,ChiCTR2000029855,ChiCTR
tri00022,ChiCTR2000029853,ChiCTR
tri00023,ChiCTR2000029850,ChiCTR
tri00024,ChiCTR2000029849,ChiCTR
tri00025,ChiCTR2000029839,ChiCTR
tri00026,ChiCTR2000029822,ChiCTR
tri00027,ChiCTR2000029821,ChiCTR
tri00028,ChiCTR2000029819,ChiCTR
tri00029,ChiCTR2000029815,ChiCTR
tri00030,ChiCTR2000029814,ChiCTR
tri00031,ChiCTR2000029813,ChiCTR
tri00032,ChiCTR2000029811,ChiCTR
tri00033,ChiCTR2000029810,ChiCTR
tri00034,ChiCTR2000029806,ChiCTR
tri00035,ChiCTR2000029805,ChiCTR
tri00036,ChiCTR2000029804,ChiCTR
tri00037,ChiCTR2000029790,ChiCTR
tri00038,ChiCTR2000029789,ChiCTR
tri00039,ChiCTR2000029788,ChiCTR
tri00040,ChiCTR2000029782,ChiCTR
tri00041,ChiCTR2000029779,ChiCTR
tri00042,ChiCTR2000029778,ChiCTR
tri00043,ChiCTR2000029777,ChiCTR
tri00044,ChiCTR2000029776,ChiCTR
tri00045,ChiCTR2000029769,ChiCTR
tri00046,ChiCTR2000029768,ChiCTR
tri00047,ChiCTR2000029765,ChiCTR
tri00048,ChiCTR2000029764,ChiCTR
tri00049,ChiCTR2000029763,ChiCTR
tri00050,ChiCTR2000029758,ChiCTR
tri00051,ChiCTR2000029756,ChiCTR
tri00052,ChiCTR2000029754,ChiCTR
tri00053,ChiCTR2000029751,ChiCTR
tri00054,ChiCTR2000029747,ChiCTR
tri00055,ChiCTR2000029742,ChiCTR
tri00056,ChiCTR2000029741,ChiCTR
tri00057,ChiCTR2000029739,ChiCTR
tri00058,ChiCTR2000029735,ChiCTR
tri00059,ChiCTR2000029734,ChiCTR
tri00060,ChiCTR2000029732,ChiCTR
tri00061,ChiCTR2000029695,ChiCTR
tri00062,ChiCTR2000029656,ChiCTR
tri00063,ChiCTR2000029639,ChiCTR
tri00064,ChiCTR2000029637,ChiCTR
tri00065,ChiCTR2000029636,ChiCTR
tri00066,ChiCTR2000029628,ChiCTR
tri00067,ChiCTR2000029626,ChiCTR
tri00068,ChiCTR2000029625,ChiCTR
tri00069,ChiCTR2000029624,ChiCTR
tri00070,ChiCTR2000029621,ChiCTR
tri00071,ChiCTR2000029609,ChiCTR
tri00072,ChiCTR2000029606,ChiCTR
tri00073,ChiCTR2000029603,ChiCTR
tri00074,ChiCTR2000029602,ChiCTR
tri00075,ChiCTR2000029601,ChiCTR
tri00076,ChiCTR2000029600,ChiCTR
tri00077,ChiCTR2000029578,ChiCTR
tri00078,ChiCTR2000029572,ChiCTR
tri00079,ChiCTR2000029569,ChiCTR
tri00080,ChiCTR2000029559,ChiCTR
tri00081,ChiCTR2000029558,ChiCTR
tri00082,ChiCTR2000029548,ChiCTR
tri00083,ChiCTR2000029544,ChiCTR
tri00084,ChiCTR2000029542,ChiCTR
tri00085,ChiCTR2000029541,ChiCTR
tri00086,ChiCTR2000029539,ChiCTR
tri00087,ChiCTR2000029518,ChiCTR
tri00088,ChiCTR2000029517,ChiCTR
tri00089,ChiCTR2000029495,ChiCTR
tri00090,ChiCTR2000029493,ChiCTR
tri00091,ChiCTR2000029487,ChiCTR
tri00092,ChiCTR2000029468,ChiCTR
tri00093,ChiCTR2000029462,ChiCTR
tri00094,ChiCTR2000029461,ChiCTR
tri00095,ChiCTR2000029460,ChiCTR
tri00096,ChiCTR2000029459,ChiCTR
tri00097,ChiCTR2000029439,ChiCTR
tri00098,ChiCTR2000029438,ChiCTR
tri00099,ChiCTR2000029437,ChiCTR
tri00100,ChiCTR2000029436,ChiCTR
tri00101,ChiCTR2000029435,ChiCTR
tri00102,ChiCTR2000029432,ChiCTR
tri00103,ChiCTR2000029431,ChiCTR
tri00104,ChiCTR2000029430,ChiCTR
tri00105,ChiCTR2000029418,ChiCTR
tri00106,ChiCTR2000029400,ChiCTR
tri00107,ChiCTR2000029381,ChiCTR
