,trialid,source_register,date_registration,date_enrollement,retrospective_registration,recruitment_status,phase,study_type,countries,public_title,target_enrollment,web_address
0,NCT04246242,ClinicalTrials.gov,2020-01-27,2020-01-25,True,Not Recruiting,Phase 4,Interventional,No Country Given,A Randomized Multicenter Controlled Clinical Trial of Arbidol in Patients With 2019 Novel Coronavirus (2019-nCoV),500,https://clinicaltrials.gov/show/NCT04246242
1,ChiCTR2000029947,ChiCTR,2020-02-16,2020-03-01,False,Not Recruiting,Not Applicable,Interventional,China,A Randomized Controlled Trial for Qingyi No. 4 Compound in the treatment of Convalescence Patients of Novel Coronavirus Pneumonia (COVID-19),200,http://www.chictr.org.cn/showproj.aspx?proj=49599
2,ChiCTR2000029941,ChiCTR,2020-02-16,2020-03-01,False,Not Recruiting,Not Applicable,Interventional,China,A randomized controlled trial for Traditional Chinese Medicine in the treatment for Novel Coronavirus Pneumonia (COVID-19),200,http://www.chictr.org.cn/showproj.aspx?proj=49596
3,ChiCTR2000029939,ChiCTR,2020-02-16,2020-02-10,True,Recruiting,Not Applicable,Interventional,China,"A Single-blind, Randomized, Controlled Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19)",100,http://www.chictr.org.cn/showproj.aspx?proj=49612
4,ChiCTR2000029935,ChiCTR,2020-02-16,2020-02-06,True,Recruiting,Not Applicable,Interventional,China,A Single-arm Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=49607
5,ChiCTR2000029869,ChiCTR,2020-02-15,2020-02-10,True,Not Recruiting,Phase 4,Interventional,China,"A multicenter, randomized, controlled trial for integrated Chinese and western medicine in the treatment of ordinary novel coronavirus pneumonia (COVID-19) based on the ' Internal and External Relieving -Truncated Torsion' strategy",300,http://www.chictr.org.cn/showproj.aspx?proj=49486
6,ChiCTR2000029867,ChiCTR,2020-02-15,2020-02-15,False,Recruiting,Phase 4,Interventional,China,"The efficacy and safety of carrimycin treatment in patients with novel coronavirus pneumonia (COVID-19): a multicenter, randomized, open-label, controlled trial",520,http://www.chictr.org.cn/showproj.aspx?proj=49514
7,ChiCTR2000029855,ChiCTR,2020-02-15,2020-02-15,False,Recruiting,Not Applicable,Interventional,China,"A randomized, open and controlled clinical trial for traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19)",180,http://www.chictr.org.cn/showproj.aspx?proj=49543
8,ChiCTR2000029853,ChiCTR,2020-02-15,2020-02-16,False,Recruiting,Not Applicable,Interventional,China,"A randomized, open-label, controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)",20,http://www.chictr.org.cn/showproj.aspx?proj=49532
9,ChiCTR2000029850,ChiCTR,2020-02-15,2020-02-15,False,Recruiting,Not Applicable,Interventional,China,Study on convalescent plasma treatment for severe patients with novel coronavirus pneumonia (COVID-19),20,http://www.chictr.org.cn/showproj.aspx?proj=49533
10,ChiCTR2000029849,ChiCTR,2020-02-15,2020-02-01,True,Recruiting,Not Applicable,Interventional,China,Application of Regulating Intestinal Flora in the Treatment of Severe Novel Coronavirus Pneumonia (COVID-19),60,http://www.chictr.org.cn/showproj.aspx?proj=49530
11,ChiCTR2000029821,ChiCTR,2020-02-14,2020-02-14,False,Not Recruiting,Not Applicable,Prevention,China,Based on Delphi Method to Preliminarily Construct a Recommended Protocol for the Prevention of Novel Coronavirus Pneumonia (COVID-19) in Deyang Area by Using Chinese Medicine Technology and its Clinical Application Evaluation,400,http://www.chictr.org.cn/showproj.aspx?proj=49306
12,ChiCTR2000029819,ChiCTR,2020-02-14,2020-02-11,True,Recruiting,Phase 4,Interventional,China,Ba-Bao-Dan in the adjuvant therapy of novel coronavirus pneumonia (COVID-19) patients,80,http://www.chictr.org.cn/showproj.aspx?proj=49490
13,ChiCTR2000029814,ChiCTR,2020-02-14,2020-02-14,False,Recruiting,Not Applicable,Interventional,China,Clinical Trial for Integrated Chinese and Western Medicine in the Treatment of Children with Novel Coronavirus Pneumonia (COVID-19),30,http://www.chictr.org.cn/showproj.aspx?proj=49387
14,ChiCTR2000029813,ChiCTR,2020-02-14,2020-02-14,False,Recruiting,Not Applicable,Interventional,China,Clinical Trial for Tanreqing Capsules in the Treatment of Novel Coronavirus Pneumonia (COVID-19),72,http://www.chictr.org.cn/showproj.aspx?proj=49425
15,ChiCTR2000029811,ChiCTR,2020-02-14,2020-02-20,False,Not Recruiting,Not Applicable,Interventional,No Country Given,Clinical Study for Anti-aging Active Freeze-dried Powder Granules in the Treatment of Acute Novel Coronavirus Pneumonia (COVID-19),60,http://www.chictr.org.cn/showproj.aspx?proj=49355
16,ChiCTR2000029806,ChiCTR,2020-02-14,2020-02-12,True,Recruiting,Not Applicable,Interventional,China,Immunomodulatory Therapy for Severe Novel Coronavirus Pneumonia (COVID-19),120,http://www.chictr.org.cn/showproj.aspx?proj=49161
17,ChiCTR2000029790,ChiCTR,2020-02-13,2020-02-17,False,Recruiting,Not Applicable,Interventional,China,Clinical study for the integration of traditional Chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19),120,http://www.chictr.org.cn/showproj.aspx?proj=49453
18,ChiCTR2000029789,ChiCTR,2020-02-13,2020-02-15,False,Recruiting,Not Applicable,Interventional,China,Randomized controlled trial for TCM syndrome differentiation treatment impacting quality of life of post-discharge patients with novel coronavirus pneumonia (COVID-19),100,http://www.chictr.org.cn/showproj.aspx?proj=49348
19,ChiCTR2000029788,ChiCTR,2020-02-13,2020-03-01,False,Not Recruiting,Not Applicable,Interventional,China,Traditional Chinese medicine cooperative therapy for patients with novel coronavirus pneumonia (COVID-19): a randomized controlled trial,60,http://www.chictr.org.cn/showproj.aspx?proj=49452
20,ChiCTR2000029778,ChiCTR,2020-02-13,2020-02-14,False,Recruiting,Not Applicable,Interventional,China,Clinical Study for Traditional Chinese Medicine Combined With Western Medicine in Treatment of Novel Coronavirus Pneumonia (COVID-19),600,http://www.chictr.org.cn/showproj.aspx?proj=49422
21,ChiCTR2000029777,ChiCTR,2020-02-13,2020-02-05,True,Recruiting,Not Applicable,Interventional,China,"A multicenter, randomized, controlled trial for integrated chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19) based on the 'Truncated Torsion' strategy",160,http://www.chictr.org.cn/showproj.aspx?proj=49380
22,ChiCTR2000029776,ChiCTR,2020-02-13,2020-02-11,True,Recruiting,Phase 4,Interventional,China,"A randomized, open-label, blank-controlled, multicenter trial for Polyinosinic-Polycytidylic Acid Injection in the treatment of novel coronavirus pneumonia (COVID-19)",40,http://www.chictr.org.cn/showproj.aspx?proj=49342
23,ChiCTR2000029769,ChiCTR,2020-02-13,2020-02-15,False,Not Recruiting,Not Applicable,Interventional,China,Babaodan Capsule used for the adjuvant treatment of severe novel coronavirus pneumonia (COVID-19),40,http://www.chictr.org.cn/showproj.aspx?proj=49415
