ISRCTN,Basic results,Peer-reviewed publications,Overall trial start,Overall trial end,Record last updated,Overall trial status,Recruitment status,EudraCT number,ClinicalTrials.gov number
ISRCTN13146087,,,01/10/2021,30/09/2023,01/04/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN10598469,,,30/05/2019,30/09/2020,01/04/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN19930942,,,13/02/2020,28/08/2020,01/04/2022,Completed,No longer recruiting,2020-000735-41,Nil known
ISRCTN12850570,,,01/08/2012,20/04/2018,01/04/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN80103507,,,23/03/2018,01/09/2025,01/04/2022,Ongoing,Recruiting,2019-003404-13,Nil known
ISRCTN12267960,,,10/08/2019,31/12/2023,28/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN12324618,,,17/02/2021,24/06/2022,01/04/2022,Ongoing,Recruiting,Nil known,NCT05302310
ISRCTN15719626,,,15/12/2021,30/06/2022,31/03/2022,Ongoing,No longer recruiting,2021‐005429‐26,Nil known
ISRCTN30672343,,,13/01/2022,30/09/2022,01/04/2022,Ongoing,Recruiting,2021-005826-39,Nil known
ISRCTN13005983,,,01/04/2021,01/11/2023,01/04/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN55335030,,,09/02/2021,08/10/2026,01/04/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN30640743,,,01/04/2021,31/10/2023,31/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN59959611,,,01/11/2021,01/05/2025,01/04/2022,Ongoing,Not yet recruiting,2021-002876-38,Nil known
ISRCTN24136967,,,02/05/2018,31/12/2020,30/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN15775657,,,15/12/2021,01/11/2023,01/04/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN17572332,,,08/03/2022,10/11/2023,30/03/2022,Deferred,Not yet recruiting,2020-004521-23,Nil known
ISRCTN78234026,,,01/11/2020,31/12/2023,30/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN45733939,,,01/07/2021,30/06/2023,28/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN50551089,,,01/04/2019,12/10/2020,30/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN16929184,,,01/03/2020,01/06/2024,29/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN87455770,,,15/09/2021,15/04/2023,29/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN12982302,,,15/02/2021,15/02/2025,29/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN12221500,,,20/06/2019,16/03/2020,29/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN59420095,,,01/03/2020,30/11/2022,29/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN30768206,,,13/07/2021,01/10/2023,29/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN15320064,,,19/08/2020,30/09/2024,29/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN13908683,,,25/03/2022,31/12/2025,29/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN75126874,,,01/03/2015,28/02/2016,28/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN89539429,,,06/12/2018,31/12/2028,01/04/2022,Ongoing,Recruiting,2019-003897-24,NCT04584853
ISRCTN12347878,,,01/10/2021,30/09/2024,28/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN16112706,,,17/12/2021,02/09/2022,28/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN11403535,,,30/01/2015,10/04/2015,25/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN16703816,,,01/03/2020,31/12/2023,01/04/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN17117016,,,02/08/2019,06/02/2022,01/04/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN90634455,,,12/04/2019,30/06/2025,25/03/2022,Ongoing,Not yet recruiting,2020-005218-16,Nil known
ISRCTN95404312,,,28/10/2020,31/12/2022,25/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN63844228,,,01/12/2020,08/09/2021,25/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN75517095,,,31/03/2021,30/11/2021,25/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN17863382,,,01/11/2021,31/03/2026,25/03/2022,Ongoing,Recruiting,2022-000300-35,Nil known
ISRCTN14307038,,,01/06/2020,18/03/2022,25/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN12032821,,,19/11/2016,28/02/2019,25/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN14852287,,,06/07/2015,31/12/2020,24/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN13404790,,,15/10/2021,30/09/2023,24/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN13429325,,,10/03/2022,31/08/2022,24/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN12926361,,,27/05/2021,30/11/2022,24/03/2022,Deferred,Recruiting,2021-001912-26,Nil known
ISRCTN18251209,,,01/01/2021,01/06/2022,01/04/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN16145266,,,01/01/2022,30/06/2024,01/04/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN15276264,,,01/01/2021,01/05/2023,18/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN44345202,,,08/06/2021,08/06/2026,23/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN83274049,,2019 Protocol article in https://pubmed.ncbi.nlm.nih.gov/31014343/ (added 22/03/2022),21/11/2016,02/03/2019,22/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN85624923,,,01/02/2021,31/08/2022,23/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN19301859,,,20/01/2021,05/02/2022,22/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN99571476,,,01/11/2020,31/12/2023,01/04/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN57410678,,,10/01/2020,10/01/2024,22/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN17878735,,,01/11/2021,03/04/2022,22/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN29077878,,,17/07/2020,01/07/2022,25/03/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN11449333,,,01/10/2021,31/03/2023,25/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN39863778,,,01/07/2018,01/10/2022,22/03/2022,Ongoing,No longer recruiting,Nil known,Nil known
ISRCTN95766678,,2019 Protocol article in https://doi.org/10.1007/s10557-019-06891-z (added 18/03/2022),01/09/2017,01/03/2021,18/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN11241011,,,28/11/2019,31/12/2021,21/03/2022,Completed,No longer recruiting,Nil known,Nil known
ISRCTN12380898,,,01/01/2021,30/09/2023,18/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN14007390,,,01/01/2019,01/12/2023,01/04/2022,Ongoing,Recruiting,2021-004145-20,Nil known
ISRCTN12295348,,,06/12/2021,31/03/2025,21/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN24998809,,,01/06/2018,31/07/2023,21/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN68194223,,,01/07/2021,01/06/2026,01/04/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN10423782,,,01/01/2020,30/05/2023,21/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN64279315,,,16/03/2022,01/06/2024,21/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
ISRCTN16510251,,,01/01/2022,14/03/2023,16/03/2022,Ongoing,Recruiting,Nil known,Nil known
ISRCTN62674004,,,01/10/2021,01/07/2024,18/03/2022,Ongoing,Not yet recruiting,Nil known,Nil known
